Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021,Population - 2023, GNI - 2021
1,Japan,106.48,Asia,0.99,29,0.925,13.4,123294513,42274.0
2,Taiwan,106.47,Asia,0.96,4,,,10143543,
3,Singapore,105.89,Asia,0.97,0,0.939,11.9,6014723,90919.0
4,Hong Kong,105.37,Asia,0.94,1,0.952,12.2,7491609,62607.0
5,China,104.1,Asia,0.96,8,0.768,7.6,1425671352,17504.0
6,South Korea,102.35,Asia,0.98,0,0.925,12.5,51784059,44501.0
7,Belarus,101.6,Europe,1.0,2,0.808,12.1,9498238,18849.0
8,Finland,101.2,Europe,1.0,5,0.94,12.9,5545475,49452.0
9,Liechtenstein,101.07,Europe,1.0,0,0.935,12.5,	39315,146830.0
10,Germany,100.74,Europe,0.99,111,0.942,14.1,83294633,54534.0
11,Netherlands,100.74,Europe,0.99,22,0.941,12.6,17618299,55979.0
12,Estonia,100.72,Europe,1.0,0,0.89,13.5,1322766,38048.0
13,Luxembourg,99.87,Europe,1.0,2,0.93,13.0,654.768,84649.0
14,Macao,99.82,Asia,0.97,0,,,704.15,
15,Cambodia,99.75,Asia,0.78,0,0.593,5.1,16944826,4079.0
16,Canada,99.52,North America,0.99,28,0.936,13.8,38781292,46808.0
17,Australia,99.24,Oceania,0.99,12,0.951,12.7,26439112,49238.0
18,Hungary,99.24,Europe,0.99,13,0.846,12.2,10156239,32789.0
19,Switzerland,99.24,Europe,0.99,27,0.962,13.9,8796669,66933.0
20,United Kingdom,99.12,Europe,0.99,137,0.929,13.4,67736802,45225.0
21,North Korea,98.82,Asia,1.0,0,,,26160822,
22,Slovenia,98.6,Europe,1.0,1,0.918,12.8,2119675,39746.0
23,New Zealand,98.57,Oceania,0.99,3,0.937,12.9,5228100,44057.0
24,Austria,98.38,Europe,0.98,22,0.916,12.3,8958961,53619.0
25,Iceland,98.26,Europe,0.99,1,0.959,13.8,375.319,55782.0
26,Denmark,97.83,Europe,0.99,13,0.948,13.0,5910913,60365.0
27,Belgium,97.49,Europe,0.99,11,0.937,12.4,11686140,52293.0
28,United States,97.43,North America,0.99,400,0.921,13.7,339996564,64765.0
29,Norway,97.13,Europe,1.0,13,0.961,13.0,5474360,64660.0
30,Sweden,97.0,Europe,0.99,32,0.947,12.6,10612086,54489.0
31,France,96.69,Europe,0.99,71,0.903,11.6,64756584,45937.0
32,Poland,96.35,Europe,1.0,19,0.876,13.2,41026068,33034.0
33,Slovakia,96.32,Europe,1.0,0,0.848,12.9,5795199,30690.0
34,Russia,96.29,Europe/Asia,1.0,0,0.822,12.8,144444359,27166.0
35,Lithuania,95.89,Europe,1.0,3,0.875,13.5,2718352,37931.0
36,Croatia,95.75,Europe,0.99,2,0.858,12.2,4008617,30132.0
37,Andorra,95.2,Europe,1.0,0,0.858,10.6,76.965,51167.0
38,Ireland,95.13,Europe,0.99,11,0.945,11.6,5056935,76169.0
39,Czech republic,94.92,Europe,0.99,6,0.889,12.9,10495295,38745.0
40,Latvia,94.79,Europe,1.0,1,0.863,13.3,1830212,32803.0
41,Italy,94.23,Europe,0.99,21,0.895,10.7,58870763,42840.0
42,New Caledonia,93.92,Oceania,0.97,0,,,292.991,
43,Vanuatu,93.92,Oceania,0.85,0,0.607,7.1,334.506,3085.0
44,Spain,93.9,Europe,0.98,8,0.905,10.6,47519628,38354.0
45,Bermuda,93.48,North America,0.98,0,,,63.837,
46,Cyprus,93.39,Europe,0.99,1,0.896,12.4,1260138,38188.0
47,Portugal,92.77,Europe,0.95,2,0.866,9.6,10247605,33155.0
48,Israel,92.43,Asia,0.97,13,0.919,13.3,9174520,41524.0
49,Barbados,91.6,Central America,1.0,0,0.79,9.9,281.996,12306.0
50,Malta,91.27,Europe,0.94,0,0.918,12.2,535.065,38884.0
51,Myanmar,91.18,Asia,0.93,1,0.585,6.4,54577997,3851.0
52,Mongolia,91.03,Asia,0.98,0,0.739,9.4,3447157,10588.0
53,Bulgaria,90.99,Europe,0.98,1,0.795,11.4,6687717,23079.0
54,Greece,90.77,Europe,0.95,2,0.887,11.4,10341277,29002.0
55,Suriname,90.29,South America,0.96,0,0.73,9.8,623.237,12672.0
56,Ukraine,90.07,Europe,1.0,6,0.773,11.1,36744634,13256.0
57,Moldavia,89.98,Europe,0.99,0,0.767,11.8,3435931,14875.0
58,Serbia,89.6,Europe,0.98,0,0.802,11.4,7149077,19123.0
59,Vietnam,89.53,Asia,0.95,1,0.703,8.4,98858950,7867.0
60,Iraq,89.28,Asia,0.8,1,0.686,7.9,45504560,9977.0
61,Uzbekistan,89.01,Asia,1.0,0,0.727,11.9,35163944,7917.0
62,Kazakhstan,88.89,Asia,1.0,0,0.811,12.3,19606634,23943.0
63,Thailand,88.87,Asia,0.94,0,0.8,8.7,71801279,17030.0
64,Armenia,88.82,Asia,1.0,0,0.759,11.3,2777971,13158.0
65,Bosnia and Herzegovina,88.54,Europe,0.98,2,0.78,10.5,3210848,15242.0
66,Costa Rica,88.34,Central America,0.98,1,0.809,8.8,5212173,19974.0
67,Bhutan,87.94,Asia,0.64,0,0.666,5.2,787.425,9438.0
68,Chile,87.89,South America,0.97,2,0.855,10.9,19629590,24563.0
69,Mexico,87.73,North America,0.95,3,0.758,9.2,128455567,17896.0
70,Tajikistan,87.71,Asia,1.0,0,0.685,11.3,10143543,4548.0
71,Uruguay,87.59,South America,0.98,0,0.809,9.0,3423109,21269.0
72,Brunei,87.58,Asia,0.97,0,0.829,9.2,452.524,64490.0
73,Malaysia,87.58,Asia,0.95,0,0.803,10.6,34308525,26658.0
74,Bahamas,86.99,Central America,0.96,0,0.812,12.6,412.624,30486.0
75,Romania,86.88,Europe,0.99,5,0.821,11.3,19892812,30027.0
76,Türkiye,86.8,Europe/Asia,0.96,2,0.838,8.6,85816199,31033.0
77,Argentina,86.63,South America,0.98,5,0.842,11.1,45773884,20925.0
78,Sri Lanka,86.62,Asia,0.93,0,0.782,10.8,21893579,12578.0
79,Mauritius,86.56,Africa,0.91,0,0.802,10.4,1300557,22025.0
80,Turkmenistan,85.86,Asia,1.0,0,0.745,11.3,6516100,13021.0
81,Montenegro,85.78,Europe,0.99,0,0.832,12.2,626.485,20839.0
82,Trinidad and Tobago,85.63,Central America,0.99,1,0.81,11.6,1534937,23392.0
83,Azerbaijan,84.81,Asia,1.0,1,0.745,10.5,10412652,14257.0
84,Georgia,84.5,Europe/Asia,1.0,0,0.802,12.8,3728282,14664.0
85,Turks and Caicos Islands,84.29,Central America,0.98,0,,,44.104,
86,Paraguay,84.04,South America,0.96,0,0.717,8.9,6861524,12349.0
87,Federated States of Micronesia,83.96,Oceania,0.89,0,0.628,7.8,115.224,3696.0
88,Fiji,83.96,Oceania,0.94,0,0.73,10.9,936.375,9980.0
89,Marshall Islands,83.96,Oceania,0.98,0,0.639,10.9,41.996,4620.0
90,Solomon Islands,83.96,Oceania,0.84,0,0.564,5.7,740.425,2482.0
91,Cuba,83.9,Central America,1.0,0,0.764,12.5,11194449,7879.0
92,Bahrain,83.6,Asia,0.96,0,0.875,11.0,1485510,39497.0
93,Brazil,83.38,South America,0.93,0,0.754,8.1,216422446,14370.0
94,Guyana,83.23,South America,0.88,0,0.714,8.6,813.834,22465.0
95,Colombia,83.13,South America,0.95,2,0.752,8.9,52085168,14384.0
96,Venezuela,82.99,South America,0.95,1,0.691,11.1,28838499,4811.0
97,Cayman Islands,82.24,Central America,0.99,0,,,69310,
98,Afghanistan,82.12,Asia,0.38,0,0.478,3.0,42239854,1824.0
99,Haiti,82.1,Central America,0.61,0,0.535,5.6,11724764,2848.0
100,Dominican Republic,82.05,Central America,0.92,0,0.767,9.3,11332973,17990.0
101,United Arab Emirates,82.05,Asia,0.93,0,0.911,12.7,9516871,62574.0
102,Puerto Rico,81.99,Central America,0.93,0,,,3260314,
103,North Macedonia,81.91,Europe,0.98,0,0.77,10.2,2085679,15918.0
104,Albania,81.75,Europe,0.98,0,0.796,11.3,2832439,14131.0
105,Lebanon,81.7,Asia,0.94,0,0.706,8.7,5353930,9526.0
106,Philippines,81.64,Asia,0.97,1,0.699,9.0,117337368,8920.0
107,Peru,81.44,South America,0.94,1,0.762,9.9,34352719,12246.0
108,Northern Mariana Islands,81.36,Oceania,0.97,0,,,49.796,
109,Laos,80.99,Asia,0.8,0,0.607,5.4,7633779,7700.0
110,Libya,80.92,Africa,0.91,0,0.718,7.6,6888388,15336.0
111,Qatar,80.78,Asia,0.98,0,0.855,10.0,2716391,87134.0
112,Jordan,80.7,Asia,0.98,0,0.72,10.4,11337053,9924.0
113,Maldives,80.54,Asia,0.99,0,0.747,7.3,521.022,15448.0
114,Iran,80.01,Asia,0.87,1,0.774,10.6,89172767,13001.0
115,Pakistan,80.0,Asia,0.56,2,0.544,4.5,240485658,4624.0
116,Grenade,79.34,Central America,0.96,0,0.795,9.0,126.184,13484.0
117,Tunisia,79.22,Africa,0.81,1,0.731,7.4,12458223,10258.0
118,Kyrgyzstan,79.09,Asia,0.99,0,0.692,11.4,6735348,4566.0
119,Panama,79.0,Central America,0.95,0,0.805,10.5,4468087,26957.0
120,Chad,78.87,Africa,0.4,0,0.394,2.6,18278568,1364.0
121,Sudan,78.87,Africa,0.59,0,0.508,3.8,48109006,3575.0
122,Seychelles,78.76,Africa,0.95,0,0.785,10.3,107.66,25831.0
123,Oman,78.7,Asia,0.94,0,0.816,11.7,4644384,27054.0
124,Kuwait,78.64,Asia,0.96,0,0.831,7.3,4310108,52920.0
125,East Timor,78.49,Asia,0.64,0,,,1360596,
126,Indonesia,78.49,Asia,0.95,0,0.705,8.6,277534123,11466.0
127,Papua New Guinea,78.49,Oceania,0.63,0,0.558,4.7,10329931,4009.0
128,Ecuador,78.26,South America,0.95,0,0.74,8.8,18190484,10312.0
129,Palestine,77.69,Asia,0.97,1,0.715,9.9,5040000,6583.0
130,Senegal,77.37,Africa,0.56,0,0.511,2.9,17763163,3344.0
131,Comoros,77.07,Africa,0.78,0,0.558,5.1,852.075,3142.0
132,Madagascar,76.79,Africa,0.65,0,0.501,5.1,30325732,1484.0
133,British Virgin Islands,76.69,Central America,0.98,0,,, 32291,
134,Bolivia,76.53,South America,0.95,0,0.692,9.8,12388571,8111.0
135,Uganda,76.42,Africa,0.74,0,0.525,5.7,48582334,2181.0
136,Saudi Arabia,76.36,Asia,0.95,0,0.875,11.3,36947025,46112.0
137,Egypt,76.32,Africa,0.76,4,0.731,9.6,112716599,11732.0
138,India,76.24,Asia,0.72,12,0.633,6.7,1428627663,6590.0
139,Algeria,76.0,Africa,0.8,2,0.745,8.1,45606481,10800.0
140,Kenya,75.2,Africa,0.78,1,0.575,6.7,55100587,4474.0
141,Angola,75.1,Africa,0.71,0,0.586,5.4,36684203,5466.0
142,Jamaica,75.08,Central America,0.89,0,0.709,9.2,2825544,8834.0
143,Tanzania,74.95,Africa,0.8,1,0.549,6.4,67438106,2664.0
144,Syria,74.41,Asia,0.86,0,0.577,5.1,23227014,4192.0
145,Bangladesh,74.33,Asia,0.61,2,0.661,7.4,172954319,5472.0
146,Zimbabwe,74.01,Africa,0.87,0,0.593,8.7,16665409,3810.0
147,Burkina Faso,73.8,Africa,0.38,0,0.449,2.1,23251485,2118.0
148,Saint Lucia,73.68,Central America,0.9,2,0.715,8.5,180.251,12048.0
149,Mozambique,72.5,Africa,0.59,0,0.446,3.2,33897354,1198.0
150,Burundi,72.09,Africa,0.85,0,0.426,3.1,13238559,732.0
151,Niger,70.82,Africa,0.19,0,0.4,2.1,27202843,1240.0
152,Antigua and Barbuda,70.48,Central America,0.99,0,0.788,9.3,94.298,16792.0
153,Rwanda,69.95,Africa,0.71,0,0.534,4.4,14094683,2210.0
154,Benin,69.71,Africa,0.38,0,0.525,4.3,13712828,3409.0
155,Malawi,69.7,Africa,0.66,0,0.512,4.5,20931751,1466.0
156,El Salvador,69.63,Central America,0.88,0,0.675,7.2,6364943,8296.0
157,Botswana,69.45,Africa,0.88,0,0.693,10.3,2675353,16198.0
158,Lesotho,68.87,Africa,0.79,0,0.514,6.0,2330318,2700.0
159,South Africa,68.87,Africa,0.95,11,0.713,11.4,60414495,12948.0
160,Eswatini,68.87,Africa,0.87,0,0.597,5.6,1210822,7679.0
161,Eritrea,68.77,Africa,0.74,0,0.492,4.9,3748902,1729.0
162,Saint Helena,68.74,Africa,0.97,0,,,6.115,
163,Zambia,68.43,Africa,0.85,0,0.565,7.2,20569738,3218.0
164,Ethiopia,68.42,Africa,0.49,1,0.498,3.2,126527060,2361.0
165,Djibouti,68.41,Africa,0.68,0,0.509,4.1,1136455,5025.0
166,Cameroon,67.76,Africa,0.75,0,0.576,6.2,28647293,3621.0
167,Nigeria,67.76,Africa,0.6,1,0.535,7.2,223804632,4790.0
168,Somalia,67.67,Africa,0.38,0,,,18143379,
169,Morocco,67.03,Africa,0.72,1,0.683,5.9,37840044,7303.0
170,Namibia,66.19,Africa,0.91,0,0.615,7.2,2604172,8634.0
171,Dominica,66.03,Central America,0.94,0,0.72,8.1,73.161,11488.0
172,Sao Tome and Principe,65.22,Africa,0.92,0,0.618,6.2,231.856,4021.0
173,Congo,64.92,Africa,0.77,0,0.571,6.2,6106869,2889.0
174,Saint Vincent and the Grenadines,63.42,Central America,0.96,0,0.751,10.8,103.699,11961.0
175,Gabon,62.97,Africa,0.83,0,0.706,9.4,2436567,13367.0
176,Congo Republic,62.97,Africa,0.79,0,0.479,7.0,102262809,1076.0
177,Yemen,62.86,Asia,0.7,1,0.455,3.2,34449825,1314.0
178,Belize,62.55,Central America,0.83,0,0.683,8.8,410.825,6309.0
179,Central African Republic,62.55,Africa,0.37,0,0.404,4.3,5742316,966.0
180,Honduras,62.16,Central America,0.88,0,0.621,7.1,10593798,5298.0
181,Togo,59.83,Africa,0.67,0,0.539,5.0,9053799,2167.0
182,Mali,59.76,Africa,0.33,0,0.428,2.3,23293699,2133.0
183,Mauritania,59.76,Africa,0.52,0,0.556,4.9,4862989,5075.0
184,South Sudan,58.61,Africa,0.32,0,0.385,5.7,11088796,768.0
185,Ghana,58.16,Africa,0.77,1,0.632,8.3,34121985,5745.0
186,Costa do Marfim,58.16,Africa,0.43,0,,,28873034,
187,Guinea,53.48,Africa,0.3,0,0.465,2.2,14190612,2481.0
188,Nicaragua,52.69,Central America,0.82,0,0.667,7.1,7046311,5625.0
189,Gambia,52.68,Africa,0.58,0,0.5,4.6,2773168,2172.0
190,Guatemala,47.72,Central America,0.79,2,0.627,5.7,18092026,8723.0
191,Liberia,45.07,Africa,0.48,2,0.481,5.1,5418377,1289.0
192,Sierra Leone,45.07,Africa,0.48,0,0.477,4.6,8791092,1622.0
193,Nepal,42.99,Asia,0.65,0,0.602,5.1,30896590,3877.0
